sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
512,0.2,0.0,0.1,0.0,0.1,"[50, 10]",16,4e-05,6,5,3,1,0.2,0.1,0.4,0.8,5,0.005,0.8265,0.8264,0.8384,0.8388,0.5408,0.4752,0.7255,0.787,0.7248
1024,0.1,0.1,0.2,0.2,0.2,"[40, 10]",16,3e-05,2,1,1,5,0.5,0.1,0.3,0.8,5,0.005,0.8236,0.8227,0.8445,0.8443,0.5102,0.4475,0.74,0.7831,0.7395
1024,0.0,0.2,0.2,0.2,0.1,"[36, 6]",16,4e-05,4,3,3,5,0.5,0.4,0.4,1.0,5,0.005,0.8163,0.8166,0.8277,0.8286,0.4942,0.4344,0.765,0.7968,0.7643
256,0.0,0.1,0.2,0.0,0.2,"[32, 8]",24,3e-05,4,3,5,1,0.4,0.5,0.5,1.0,5,0.005,0.8192,0.8182,0.843,0.8428,0.5262,0.4592,0.7398,0.7854,0.7357
256,0.1,0.1,0.1,0.2,0.2,"[36, 6]",24,5e-05,6,3,5,5,0.5,0.3,0.2,0.8,5,0.005,0.8076,0.8075,0.8247,0.8252,0.5058,0.4359,0.7774,0.7664,0.7754
256,0.1,0.0,0.1,0.2,0.1,"[40, 10]",24,4e-05,2,1,1,3,0.2,0.2,0.4,0.8,5,0.005,0.8265,0.8263,0.8445,0.8448,0.5219,0.4548,0.7377,0.7914,0.7355
1024,0.0,0.1,0.1,0.0,0.2,"[40, 8]",16,5e-05,2,3,1,5,0.2,0.4,0.2,1.0,5,0.005,0.809,0.8087,0.8216,0.8219,0.5262,0.4534,0.7454,0.7775,0.7451
256,0.2,0.2,0.1,0.2,0.0,"[30, 6]",16,4e-05,6,5,3,5,0.4,0.5,0.4,0.8,5,0.005,0.8222,0.8214,0.8415,0.8414,0.5306,0.4621,0.7465,0.7814,0.746
256,0.2,0.0,0.0,0.2,0.2,"[40, 5]",16,4e-05,4,5,1,1,0.4,0.4,0.1,0.8,5,0.005,0.8207,0.82,0.8399,0.8399,0.5262,0.4519,0.7337,0.78,0.7332
1024,0.1,0.1,0.0,0.0,0.0,"[30, 6]",24,5e-05,6,5,5,1,0.2,0.2,0.1,0.6,5,0.005,0.8105,0.8092,0.8323,0.8319,0.4956,0.4431,0.7683,0.7763,0.7641
512,0.2,0.1,0.1,0.1,0.1,"[30, 10]",24,3e-05,4,3,3,5,0.5,0.2,0.5,1.0,5,0.005,0.828,0.8276,0.8476,0.8478,0.5117,0.4388,0.7478,0.7868,0.7439
256,0.1,0.0,0.0,0.1,0.1,"[40, 5]",24,4e-05,2,3,5,5,0.5,0.5,0.5,1.0,5,0.005,0.8338,0.8337,0.8491,0.8494,0.5146,0.4519,0.7394,0.7938,0.7365
256,0.0,0.0,0.0,0.1,0.0,"[40, 10]",16,3e-05,2,1,5,5,0.3,0.3,0.5,1.0,5,0.005,0.8163,0.8159,0.8369,0.8371,0.5321,0.4592,0.7365,0.7882,0.7358
1024,0.1,0.0,0.1,0.0,0.2,"[36, 6]",24,4e-05,6,5,1,1,0.4,0.5,0.3,1.0,5,0.005,0.8192,0.8185,0.8354,0.8352,0.4781,0.4184,0.7594,0.7808,0.756
1024,0.2,0.2,0.0,0.0,0.2,"[40, 5]",16,5e-05,2,5,3,1,0.5,0.4,0.5,1.0,5,0.005,0.8265,0.8264,0.8445,0.845,0.5131,0.4373,0.7483,0.785,0.7477
512,0.2,0.2,0.2,0.1,0.1,"[50, 10]",24,3e-05,2,5,1,1,0.4,0.2,0.3,0.6,5,0.005,0.8149,0.8136,0.8369,0.8364,0.519,0.4475,0.7439,0.7896,0.7415
512,0.1,0.1,0.2,0.2,0.1,"[32, 8]",16,3e-05,2,1,3,1,0.3,0.5,0.1,0.6,5,0.005,0.8134,0.8131,0.8308,0.8311,0.5015,0.4359,0.7559,0.7792,0.7554
512,0.0,0.1,0.1,0.1,0.2,"[40, 8]",16,5e-05,4,5,5,5,0.2,0.5,0.3,0.8,5,0.005,0.8192,0.8188,0.8338,0.834,0.4971,0.4329,0.7503,0.7769,0.7494
512,0.2,0.0,0.2,0.1,0.0,"[40, 8]",24,5e-05,4,5,3,3,0.1,0.1,0.5,0.6,5,0.005,0.8192,0.8188,0.8354,0.8354,0.5102,0.4548,0.7547,0.7925,0.7511
256,0.0,0.0,0.2,0.1,0.0,"[36, 6]",16,3e-05,6,1,3,1,0.5,0.2,0.4,0.8,5,0.005,0.8149,0.8141,0.8338,0.8337,0.535,0.4606,0.7373,0.7872,0.7366
256,0.1,0.2,0.1,0.1,0.0,"[40, 8]",24,5e-05,6,3,5,1,0.3,0.3,0.5,0.8,5,0.005,0.8192,0.8194,0.8338,0.8345,0.5335,0.4636,0.7281,0.7952,0.725
256,0.0,0.0,0.0,0.2,0.0,"[50, 10]",24,4e-05,4,5,5,3,0.2,0.3,0.1,1.0,5,0.005,0.8222,0.8221,0.8369,0.8373,0.5102,0.4519,0.7447,0.7814,0.7409
256,0.2,0.2,0.1,0.0,0.1,"[30, 6]",16,3e-05,4,1,5,1,0.3,0.5,0.5,0.6,5,0.005,0.8192,0.818,0.8399,0.8395,0.5102,0.4461,0.7454,0.7798,0.745
512,0.0,0.2,0.1,0.2,0.1,"[36, 6]",16,3e-05,6,3,1,3,0.3,0.5,0.5,0.6,5,0.005,0.8207,0.8185,0.8415,0.8401,0.5233,0.4592,0.7397,0.7815,0.7393
1024,0.0,0.0,0.0,0.0,0.1,"[30, 6]",16,5e-05,4,3,5,3,0.2,0.1,0.5,0.6,5,0.005,0.8192,0.8181,0.8399,0.8396,0.5335,0.4665,0.7426,0.7821,0.742
512,0.1,0.2,0.1,0.1,0.1,"[30, 6]",16,4e-05,2,3,3,1,0.4,0.2,0.3,0.8,5,0.005,0.8134,0.8126,0.8338,0.8337,0.519,0.4548,0.7532,0.7754,0.7528
256,0.2,0.2,0.1,0.0,0.1,"[36, 6]",24,5e-05,4,1,3,5,0.2,0.2,0.2,0.6,5,0.005,0.8178,0.8168,0.8384,0.8382,0.5146,0.4504,0.7347,0.789,0.7313
512,0.0,0.0,0.1,0.2,0.1,"[30, 10]",16,5e-05,4,5,5,3,0.2,0.5,0.3,0.6,5,0.005,0.8207,0.8205,0.8354,0.8357,0.5,0.4373,0.7507,0.7819,0.7503
256,0.2,0.1,0.1,0.0,0.0,"[32, 8]",24,5e-05,4,3,3,3,0.3,0.4,0.2,1.0,5,0.005,0.809,0.8085,0.8262,0.8263,0.5292,0.4592,0.7373,0.781,0.7339
256,0.2,0.2,0.0,0.1,0.2,"[40, 8]",24,3e-05,2,3,5,3,0.4,0.4,0.3,0.6,5,0.005,0.8207,0.82,0.8415,0.8415,0.5364,0.4636,0.7339,0.7882,0.7305
256,0.2,0.0,0.2,0.2,0.1,"[30, 6]",16,4e-05,6,3,5,5,0.3,0.2,0.2,0.8,5,0.005,0.8163,0.8155,0.8354,0.8352,0.5102,0.4475,0.7446,0.7775,0.7438
512,0.0,0.0,0.1,0.2,0.2,"[36, 6]",24,4e-05,4,1,3,1,0.3,0.1,0.1,0.8,5,0.005,0.8207,0.8195,0.8399,0.8394,0.5277,0.4534,0.7297,0.7879,0.7259
512,0.1,0.1,0.2,0.1,0.1,"[40, 10]",24,3e-05,6,1,1,1,0.1,0.5,0.1,0.8,5,0.005,0.8192,0.8188,0.8369,0.8371,0.5131,0.4402,0.739,0.793,0.7369
256,0.2,0.1,0.0,0.1,0.0,"[50, 10]",16,5e-05,6,3,3,5,0.3,0.2,0.3,1.0,5,0.005,0.8134,0.8128,0.8293,0.8292,0.5277,0.4592,0.7314,0.7824,0.7305
1024,0.2,0.2,0.2,0.1,0.2,"[36, 6]",16,5e-05,4,5,1,5,0.5,0.3,0.3,0.8,5,0.005,0.8163,0.8168,0.8277,0.8287,0.519,0.4504,0.7697,0.7736,0.7689
1024,0.0,0.0,0.2,0.1,0.1,"[30, 10]",16,3e-05,6,5,5,3,0.4,0.3,0.1,0.8,5,0.005,0.8105,0.8109,0.8247,0.8256,0.5102,0.4504,0.7774,0.7686,0.7768
256,0.1,0.2,0.1,0.2,0.2,"[40, 8]",24,5e-05,4,1,3,1,0.4,0.2,0.4,0.6,5,0.005,0.8222,0.8223,0.8369,0.8375,0.5015,0.4329,0.7571,0.7901,0.7533
1024,0.1,0.1,0.2,0.0,0.1,"[30, 10]",24,4e-05,2,3,1,3,0.2,0.4,0.5,0.6,5,0.005,0.8222,0.8218,0.843,0.8432,0.519,0.4519,0.754,0.7837,0.7502
256,0.2,0.1,0.0,0.0,0.2,"[32, 8]",16,3e-05,4,1,3,3,0.2,0.5,0.2,0.6,5,0.005,0.8222,0.8214,0.8399,0.8397,0.519,0.4519,0.7437,0.7797,0.743
512,0.0,0.0,0.1,0.2,0.2,"[30, 10]",24,5e-05,6,3,1,3,0.5,0.3,0.3,1.0,5,0.005,0.809,0.8093,0.8247,0.8255,0.5087,0.4402,0.777,0.7684,0.774
512,0.0,0.2,0.1,0.2,0.1,"[40, 8]",24,4e-05,4,1,5,5,0.2,0.4,0.2,1.0,5,0.005,0.8149,0.8149,0.8308,0.8314,0.5029,0.4359,0.7652,0.7794,0.7627
1024,0.2,0.1,0.2,0.1,0.2,"[50, 10]",24,4e-05,2,3,5,1,0.3,0.3,0.4,1.0,5,0.005,0.8134,0.8134,0.8308,0.8314,0.5248,0.4577,0.7406,0.7908,0.7381
1024,0.2,0.0,0.0,0.1,0.1,"[32, 8]",16,4e-05,4,3,1,5,0.2,0.1,0.5,1.0,5,0.005,0.8338,0.8334,0.8521,0.8522,0.5073,0.4417,0.7432,0.7891,0.7425
1024,0.2,0.2,0.1,0.1,0.0,"[40, 10]",16,3e-05,2,1,5,1,0.3,0.4,0.1,0.8,5,0.005,0.8163,0.8158,0.8354,0.8354,0.5117,0.449,0.7521,0.7829,0.7517
1024,0.0,0.2,0.0,0.0,0.0,"[32, 8]",24,3e-05,6,5,3,3,0.5,0.4,0.1,0.8,5,0.005,0.8163,0.8162,0.8338,0.8343,0.5044,0.4461,0.7415,0.7873,0.7372
512,0.2,0.2,0.1,0.1,0.1,"[36, 6]",24,4e-05,2,5,1,1,0.2,0.1,0.5,1.0,5,0.005,0.8207,0.8204,0.8415,0.8418,0.5277,0.4504,0.7473,0.7855,0.7448
256,0.2,0.2,0.1,0.2,0.2,"[32, 8]",24,4e-05,4,3,1,5,0.3,0.1,0.1,0.8,5,0.005,0.8236,0.8232,0.8445,0.8447,0.516,0.4417,0.768,0.7737,0.7637
512,0.1,0.2,0.0,0.1,0.1,"[40, 10]",24,3e-05,2,5,3,5,0.1,0.1,0.1,1.0,5,0.005,0.8207,0.8192,0.843,0.8423,0.5306,0.4606,0.7393,0.785,0.735
1024,0.1,0.1,0.2,0.2,0.0,"[40, 8]",16,3e-05,4,1,1,5,0.2,0.1,0.2,0.6,5,0.005,0.8149,0.8148,0.8338,0.8344,0.5277,0.4563,0.7539,0.7831,0.7534
512,0.0,0.0,0.1,0.0,0.1,"[30, 6]",24,4e-05,4,5,5,5,0.4,0.2,0.4,0.8,5,0.005,0.8047,0.8051,0.8186,0.8196,0.4985,0.4329,0.773,0.7833,0.7716
256,0.2,0.2,0.0,0.1,0.1,"[40, 10]",24,5e-05,4,5,1,3,0.5,0.2,0.2,0.6,5,0.005,0.7974,0.7972,0.8171,0.8176,0.5219,0.4563,0.7695,0.7737,0.7658
1024,0.0,0.1,0.1,0.0,0.1,"[40, 10]",16,4e-05,6,5,1,5,0.5,0.4,0.1,1.0,5,0.005,0.8294,0.8289,0.846,0.846,0.5,0.4329,0.7503,0.7838,0.7497
256,0.0,0.1,0.0,0.1,0.2,"[50, 10]",24,4e-05,2,5,5,3,0.1,0.2,0.4,1.0,5,0.005,0.812,0.8119,0.8323,0.8329,0.4971,0.4329,0.7626,0.7874,0.7605
1024,0.2,0.2,0.1,0.1,0.0,"[30, 6]",24,3e-05,2,5,5,1,0.2,0.5,0.1,1.0,5,0.005,0.8222,0.8204,0.8445,0.8436,0.5277,0.4563,0.728,0.789,0.7244
1024,0.2,0.1,0.2,0.2,0.0,"[30, 10]",16,4e-05,4,5,3,1,0.3,0.3,0.1,1.0,5,0.005,0.8192,0.818,0.8399,0.8395,0.5233,0.4519,0.716,0.798,0.7154
256,0.2,0.1,0.1,0.2,0.0,"[40, 10]",16,5e-05,4,1,5,1,0.4,0.5,0.5,0.6,5,0.005,0.812,0.8114,0.8338,0.834,0.4883,0.43,0.7898,0.7694,0.7895
512,0.1,0.1,0.1,0.2,0.2,"[30, 10]",24,4e-05,2,3,1,3,0.2,0.3,0.3,1.0,5,0.005,0.8134,0.8122,0.8354,0.8349,0.4971,0.4388,0.7858,0.7567,0.7838
1024,0.1,0.1,0.1,0.2,0.2,"[32, 8]",24,5e-05,4,5,5,5,0.4,0.5,0.1,1.0,5,0.005,0.8149,0.8142,0.8338,0.8338,0.4971,0.4373,0.7496,0.7833,0.7468
256,0.2,0.0,0.2,0.2,0.0,"[40, 10]",24,5e-05,6,5,1,3,0.1,0.3,0.3,0.8,5,0.005,0.8324,0.8325,0.8476,0.8482,0.5117,0.4475,0.7491,0.7893,0.747
512,0.1,0.0,0.2,0.1,0.1,"[30, 6]",16,3e-05,4,3,1,5,0.2,0.3,0.1,0.8,5,0.005,0.8163,0.8157,0.8338,0.8338,0.5335,0.4577,0.7291,0.7857,0.7286
512,0.0,0.1,0.0,0.2,0.0,"[36, 6]",16,5e-05,2,3,3,5,0.4,0.5,0.5,1.0,5,0.005,0.8163,0.8158,0.8308,0.8308,0.5233,0.4592,0.7526,0.7774,0.7519
512,0.2,0.2,0.0,0.2,0.1,"[30, 10]",24,5e-05,6,1,3,5,0.4,0.4,0.4,0.8,5,0.005,0.8105,0.8108,0.8232,0.824,0.5015,0.4344,0.7692,0.7834,0.7662
1024,0.2,0.0,0.2,0.1,0.1,"[36, 6]",24,4e-05,6,5,3,1,0.5,0.3,0.2,1.0,5,0.005,0.8105,0.8104,0.8293,0.8298,0.5277,0.4577,0.7435,0.7801,0.7412
1024,0.1,0.1,0.2,0.2,0.0,"[36, 6]",24,3e-05,2,5,1,5,0.4,0.4,0.2,1.0,5,0.005,0.8105,0.8106,0.8262,0.8268,0.5175,0.4548,0.7613,0.7841,0.7588
512,0.1,0.0,0.1,0.0,0.2,"[40, 10]",24,4e-05,6,1,3,1,0.2,0.1,0.3,1.0,5,0.005,0.8149,0.8143,0.8354,0.8355,0.5204,0.4504,0.7395,0.7869,0.7363
512,0.0,0.0,0.0,0.1,0.0,"[40, 5]",24,3e-05,4,3,1,3,0.3,0.1,0.1,0.6,5,0.005,0.809,0.8087,0.8293,0.8296,0.4985,0.4315,0.7553,0.7848,0.7527
512,0.2,0.1,0.0,0.2,0.1,"[40, 10]",16,4e-05,6,3,5,1,0.5,0.5,0.3,0.6,5,0.005,0.8236,0.8241,0.8293,0.8302,0.5029,0.4388,0.7704,0.781,0.7699
512,0.2,0.0,0.0,0.2,0.0,"[36, 6]",24,4e-05,4,5,3,3,0.2,0.3,0.4,0.6,5,0.005,0.8178,0.8171,0.8399,0.84,0.5219,0.4504,0.7631,0.7736,0.7603
256,0.0,0.1,0.2,0.2,0.2,"[50, 10]",24,4e-05,6,3,3,3,0.2,0.3,0.5,0.6,5,0.005,0.8222,0.822,0.8415,0.8419,0.5248,0.4592,0.7583,0.7805,0.7541
256,0.1,0.2,0.0,0.2,0.1,"[30, 6]",16,4e-05,4,5,5,3,0.2,0.1,0.3,1.0,5,0.005,0.8207,0.8202,0.8399,0.8401,0.5277,0.4548,0.73,0.7858,0.7295
256,0.0,0.1,0.0,0.2,0.1,"[36, 6]",24,4e-05,6,5,5,5,0.2,0.3,0.4,1.0,5,0.005,0.8163,0.8167,0.8308,0.8317,0.4927,0.4286,0.7951,0.7762,0.7921
512,0.1,0.2,0.0,0.2,0.1,"[40, 8]",16,3e-05,6,5,3,3,0.5,0.3,0.4,1.0,5,0.005,0.8178,0.8177,0.8354,0.8358,0.4985,0.4417,0.751,0.7902,0.7502
512,0.0,0.0,0.1,0.1,0.0,"[50, 10]",24,4e-05,4,3,5,3,0.2,0.1,0.3,0.8,5,0.005,0.8222,0.822,0.8384,0.8388,0.5321,0.4621,0.7274,0.7911,0.7237
256,0.2,0.0,0.1,0.1,0.1,"[40, 8]",16,4e-05,2,5,5,1,0.4,0.2,0.5,0.8,5,0.005,0.8061,0.8066,0.8216,0.8227,0.519,0.4504,0.7546,0.7839,0.7541
256,0.1,0.0,0.1,0.1,0.0,"[50, 10]",24,5e-05,6,3,5,5,0.3,0.1,0.2,0.6,5,0.005,0.812,0.8117,0.8262,0.8265,0.5321,0.4679,0.723,0.791,0.7207
256,0.1,0.2,0.2,0.2,0.0,"[32, 8]",24,4e-05,6,1,5,1,0.5,0.5,0.2,0.6,5,0.005,0.8294,0.8287,0.8491,0.849,0.535,0.4708,0.7407,0.7825,0.7397
512,0.0,0.2,0.0,0.1,0.0,"[36, 6]",24,4e-05,2,1,1,1,0.2,0.4,0.1,0.6,5,0.005,0.8251,0.823,0.8476,0.8463,0.5073,0.4475,0.7433,0.7863,0.7397
256,0.1,0.0,0.2,0.0,0.1,"[36, 6]",24,4e-05,4,5,3,3,0.1,0.2,0.1,0.8,5,0.005,0.8294,0.8289,0.8476,0.8476,0.5087,0.4446,0.7454,0.784,0.7433
512,0.2,0.2,0.0,0.2,0.2,"[50, 10]",16,4e-05,2,5,3,5,0.4,0.5,0.4,0.6,5,0.005,0.8222,0.821,0.843,0.8425,0.516,0.4475,0.7241,0.7904,0.7233
256,0.0,0.2,0.2,0.2,0.1,"[30, 6]",16,5e-05,2,3,1,1,0.5,0.4,0.3,0.8,5,0.005,0.8032,0.8024,0.8232,0.8231,0.5335,0.4708,0.7524,0.7729,0.7521
512,0.2,0.2,0.0,0.0,0.0,"[32, 8]",24,4e-05,2,3,5,3,0.2,0.5,0.5,1.0,5,0.005,0.8134,0.8126,0.8293,0.829,0.5117,0.449,0.7416,0.7817,0.7379
1024,0.1,0.0,0.0,0.2,0.0,"[36, 6]",24,3e-05,4,5,3,1,0.3,0.1,0.3,0.6,5,0.005,0.8294,0.8282,0.8491,0.8484,0.5277,0.4665,0.7295,0.7939,0.7264
256,0.2,0.2,0.2,0.2,0.1,"[30, 10]",24,5e-05,2,3,1,3,0.2,0.5,0.5,0.8,5,0.005,0.8251,0.8249,0.8415,0.8418,0.5204,0.4475,0.7305,0.7888,0.7282
512,0.0,0.2,0.1,0.2,0.1,"[30, 6]",16,5e-05,6,5,5,1,0.5,0.2,0.2,0.8,5,0.005,0.8149,0.8148,0.8293,0.8297,0.4956,0.43,0.7593,0.7813,0.759
512,0.1,0.1,0.2,0.1,0.1,"[36, 6]",24,4e-05,4,3,5,5,0.5,0.4,0.5,0.8,5,0.005,0.8294,0.8294,0.846,0.8465,0.5058,0.4359,0.7363,0.7906,0.732
256,0.0,0.1,0.0,0.2,0.2,"[40, 10]",16,4e-05,4,5,1,3,0.2,0.4,0.2,0.6,5,0.005,0.8134,0.8134,0.8308,0.8314,0.5248,0.4592,0.738,0.7861,0.7373
1024,0.1,0.0,0.1,0.2,0.1,"[30, 6]",16,3e-05,2,1,1,3,0.4,0.5,0.4,1.0,5,0.005,0.8222,0.8222,0.843,0.8436,0.516,0.4461,0.7633,0.7812,0.7629
256,0.2,0.1,0.1,0.1,0.0,"[40, 8]",16,4e-05,6,3,5,3,0.2,0.5,0.4,1.0,5,0.005,0.8134,0.8131,0.8277,0.8279,0.5262,0.4592,0.7466,0.78,0.7459
512,0.1,0.1,0.0,0.1,0.2,"[50, 10]",24,3e-05,4,1,3,3,0.2,0.4,0.1,0.6,5,0.005,0.8192,0.8191,0.8354,0.8357,0.5058,0.4402,0.7602,0.7846,0.7578
1024,0.2,0.0,0.0,0.1,0.2,"[40, 5]",24,5e-05,4,5,1,5,0.2,0.2,0.2,0.6,5,0.005,0.8134,0.813,0.8293,0.8294,0.5131,0.4548,0.7427,0.7874,0.7404
512,0.0,0.1,0.1,0.2,0.0,"[30, 10]",24,4e-05,2,5,5,5,0.4,0.4,0.1,0.8,5,0.005,0.8251,0.8236,0.8491,0.8484,0.5277,0.4679,0.728,0.7933,0.7247
512,0.1,0.2,0.0,0.1,0.1,"[40, 8]",24,3e-05,2,3,1,5,0.3,0.4,0.3,1.0,5,0.005,0.8076,0.8075,0.8277,0.8283,0.5073,0.4431,0.755,0.7851,0.7515
256,0.1,0.1,0.2,0.1,0.1,"[50, 10]",24,3e-05,4,1,1,1,0.5,0.4,0.1,1.0,5,0.005,0.8134,0.8127,0.8338,0.8338,0.5131,0.4446,0.758,0.7798,0.7552
1024,0.0,0.0,0.0,0.1,0.2,"[36, 6]",24,4e-05,2,3,5,5,0.5,0.5,0.3,0.8,5,0.005,0.8207,0.8199,0.8415,0.8413,0.5277,0.4534,0.7489,0.7814,0.7454
512,0.0,0.1,0.1,0.2,0.2,"[40, 8]",16,3e-05,6,1,1,5,0.4,0.1,0.1,1.0,5,0.005,0.8105,0.8109,0.8247,0.8256,0.5117,0.4417,0.7894,0.7759,0.7889
256,0.1,0.1,0.1,0.1,0.1,"[40, 8]",16,3e-05,6,3,5,5,0.2,0.3,0.4,1.0,5,0.005,0.8251,0.8248,0.8399,0.8402,0.5262,0.449,0.7438,0.7826,0.7429
256,0.2,0.2,0.2,0.1,0.2,"[40, 10]",24,3e-05,6,1,1,1,0.3,0.3,0.5,1.0,5,0.005,0.8149,0.8149,0.8323,0.8329,0.519,0.4534,0.7526,0.7828,0.7489
1024,0.2,0.1,0.0,0.1,0.0,"[40, 10]",16,5e-05,4,3,1,1,0.1,0.3,0.2,0.8,5,0.005,0.8032,0.8033,0.8201,0.8209,0.5,0.43,0.7578,0.7874,0.7575
1024,0.1,0.1,0.1,0.1,0.1,"[32, 8]",16,4e-05,4,3,3,3,0.1,0.3,0.5,0.6,5,0.005,0.8222,0.822,0.8399,0.8403,0.5277,0.4534,0.7389,0.7874,0.7383
1024,0.2,0.1,0.2,0.0,0.0,"[30, 6]",16,3e-05,2,5,3,5,0.4,0.2,0.4,0.8,5,0.005,0.8251,0.8249,0.8399,0.8403,0.5175,0.4548,0.7424,0.784,0.7419
